,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.584,0.967,11,-4.069,0,0.236,0.000302,2.15e-06,0.214,0.24,122.283,audio_features,0jt6NEuzEY0OouXkwZHq5n,spotify:track:0jt6NEuzEY0OouXkwZHq5n,https://api.spotify.com/v1/tracks/0jt6NEuzEY0OouXkwZHq5n,https://api.spotify.com/v1/audio-analysis/0jt6NEuzEY0OouXkwZHq5n,187160,4
1,0.567,0.392,1,-9.436,1,0.0419,0.0872,4.86e-05,0.112,0.195,89.976,audio_features,1GAHIJ5a6AFbIW5yjrGdAz,spotify:track:1GAHIJ5a6AFbIW5yjrGdAz,https://api.spotify.com/v1/tracks/1GAHIJ5a6AFbIW5yjrGdAz,https://api.spotify.com/v1/audio-analysis/1GAHIJ5a6AFbIW5yjrGdAz,204310,4
2,0.544,0.539,0,-5.09,1,0.0292,0.0882,0.0,0.142,0.237,120.877,audio_features,0QrxeCKmq1qHJSqysK5rdD,spotify:track:0QrxeCKmq1qHJSqysK5rdD,https://api.spotify.com/v1/tracks/0QrxeCKmq1qHJSqysK5rdD,https://api.spotify.com/v1/audio-analysis/0QrxeCKmq1qHJSqysK5rdD,194808,3
3,0.567,0.959,8,-3.822,1,0.102,0.0995,6.07e-05,0.1,0.961,137.377,audio_features,1oG2vWELiGjIqxwqGcyqwF,spotify:track:1oG2vWELiGjIqxwqGcyqwF,https://api.spotify.com/v1/tracks/1oG2vWELiGjIqxwqGcyqwF,https://api.spotify.com/v1/audio-analysis/1oG2vWELiGjIqxwqGcyqwF,133933,4
4,0.618,0.67,4,-8.034,0,0.15,0.136,0.000116,0.169,0.214,143.059,audio_features,78HAgo3mrVdg9sI9GVKfs5,spotify:track:78HAgo3mrVdg9sI9GVKfs5,https://api.spotify.com/v1/tracks/78HAgo3mrVdg9sI9GVKfs5,https://api.spotify.com/v1/audio-analysis/78HAgo3mrVdg9sI9GVKfs5,315565,4
5,0.776,0.566,0,-7.561,1,0.0739,0.366,0.0,0.451,0.652,139.937,audio_features,5sjEQjDkEYOr1RB6n5acXD,spotify:track:5sjEQjDkEYOr1RB6n5acXD,https://api.spotify.com/v1/tracks/5sjEQjDkEYOr1RB6n5acXD,https://api.spotify.com/v1/audio-analysis/5sjEQjDkEYOr1RB6n5acXD,219827,4
6,0.373,0.63,7,-5.131,1,0.0461,0.0552,0.0,0.107,0.352,115.942,audio_features,5uZLsGY9fknBd5Rxr7AIss,spotify:track:5uZLsGY9fknBd5Rxr7AIss,https://api.spotify.com/v1/tracks/5uZLsGY9fknBd5Rxr7AIss,https://api.spotify.com/v1/audio-analysis/5uZLsGY9fknBd5Rxr7AIss,202200,4
7,0.677,0.371,5,-10.482,1,0.0369,0.757,0.0202,0.108,0.319,109.972,audio_features,7m9yPkhvTfTlYEf0whUrNb,spotify:track:7m9yPkhvTfTlYEf0whUrNb,https://api.spotify.com/v1/tracks/7m9yPkhvTfTlYEf0whUrNb,https://api.spotify.com/v1/audio-analysis/7m9yPkhvTfTlYEf0whUrNb,273200,4
8,0.742,0.575,0,-5.55,1,0.0487,0.227,1.77e-06,0.176,0.583,76.494,audio_features,1wXWuZgVO52kWbiQNTaBb1,spotify:track:1wXWuZgVO52kWbiQNTaBb1,https://api.spotify.com/v1/tracks/1wXWuZgVO52kWbiQNTaBb1,https://api.spotify.com/v1/audio-analysis/1wXWuZgVO52kWbiQNTaBb1,195333,4
9,0.421,0.207,9,-14.214,0,0.0287,0.76,0.15,0.0983,0.232,143.286,audio_features,0wDa6LcGtxmcOSXIvPSwbp,spotify:track:0wDa6LcGtxmcOSXIvPSwbp,https://api.spotify.com/v1/tracks/0wDa6LcGtxmcOSXIvPSwbp,https://api.spotify.com/v1/audio-analysis/0wDa6LcGtxmcOSXIvPSwbp,188907,4
