,track_id,title,artist,artist_id,album,album_id,album_releasedate,popularity,time_added,full_time_added,year_added,month_added,dayofweek_added,hour_added
0,0jt6NEuzEY0OouXkwZHq5n,Creepin Up The Backstairs - Composite Edit (do not put on a/w),The Fratellis,3M4ThdJR28z9eSMcQHAZ5G,Costello Music,6YYhMNDgi37WNGtCDis6PT,2006-01-01,44,2020-06-09T21:02:29Z,2020-06-09 21:02:29,2020,6,1,21
1,1GAHIJ5a6AFbIW5yjrGdAz,Not Discuss It,St. Beauty,4j5EnP4t2lSKolLuQh1xvn,Running to the Sun,5TWAPPRs8ycFPPIEiXluZM,2018-01-19,30,2020-06-09T07:50:30Z,2020-06-09 07:50:30,2020,6,1,7
2,0QrxeCKmq1qHJSqysK5rdD,Drinking Song,Haley Heynderickx,73MDShZzdL4vUGMkmXOG6X,Fish Eyes EP,0AJs8uGiBASbgSV5t34yhp,2016-01-29,35,2020-06-07T06:45:48Z,2020-06-07 06:45:48,2020,6,6,6
3,1oG2vWELiGjIqxwqGcyqwF,You Really Got Me,The Kinks,1SQRv42e4PjEYfPhS0Tk9E,Kinks (Super Deluxe Edition),3hXXoaAA09avxBSSxtPIaL,1964-10-02,4,2020-06-06T21:30:23Z,2020-06-06 21:30:23,2020,6,5,21
4,78HAgo3mrVdg9sI9GVKfs5,Worlds to Run,Busdriver,43SXnO2N4X024u3l9MfvXD,Thumbs,7Dab5Lu2RVndW3c5W0xA1l,2015-11-06,51,2020-06-03T04:48:33Z,2020-06-03 04:48:33,2020,6,2,4
5,5sjEQjDkEYOr1RB6n5acXD,Lemon Eyes,Meg Myers,0W8xe7IqAPlnBRMUpWOUuJ,Sorry,14Q6NvjUSthc0Xgb5EgtQd,2015-09-18,48,2020-06-02T22:24:27Z,2020-06-02 22:24:27,2020,6,1,22
6,5uZLsGY9fknBd5Rxr7AIss,Shut Up Kiss Me,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,MY WOMAN,5M8xQaQZuW2LZGVXZ3mlKN,2016-09-02,60,2020-06-02T15:18:46Z,2020-06-02 15:18:46,2020,6,1,15
7,7m9yPkhvTfTlYEf0whUrNb,Cat Rider,Little Dragon,6Tyzp9KzpiZ04DABQoedps,Nabuma Rubberband,7cRFJj0IQqDZZ3Gm03aGbb,2014-01-01,36,2020-06-02T15:18:45Z,2020-06-02 15:18:45,2020,6,1,15
8,1wXWuZgVO52kWbiQNTaBb1,Chasing Shadows,Santigold,6Jrxnp0JgqmeUX1veU591p,99 Cents,0DOzmXcSztIomiurOwMivk,2016-02-26,47,2020-06-02T14:50:05Z,2020-06-02 14:50:05,2020,6,1,14
9,0wDa6LcGtxmcOSXIvPSwbp,Fur and Feathers,Abigail Lapell,6HyT9nfsNKEtu76UKQBD5g,Hide nor Hair,6s6I1KcMj9ce0HQeVE4mzU,2017-01-20,16,2020-06-02T04:33:54Z,2020-06-02 04:33:54,2020,6,1,4
10,4PxzGOH79jcmmldKgoI9sB,I Wish I Was the Moon,Neko Case,4Cedjq5BQL3MhapRvDpFED,Blacklisted,76PyfjqUSplsygzK6lcbcU,2002-08-20,53,2020-06-02T04:02:00Z,2020-06-02 04:02:00,2020,6,1,4
11,0GxSwEarZc2qZvYkkKkgJa,Take Me For Longing,Alison Krauss & Union Station,0OTnx2X2FDXeewcm72lavT,New Favorite,6FfrJoeF2HYdMsMLChPVVM,2001-08-14,27,2020-06-02T03:40:07Z,2020-06-02 03:40:07,2020,6,1,3
12,0VILlLqAG7LibO0Ov5Lp2E,Alcohol,FIDLAR,3P6duIn7oHeiBACZfYeNud,Almost Free,7BJBgg2OqbLnNkuCBaabR3,2019-01-25,38,2020-06-02T02:00:17Z,2020-06-02 02:00:17,2020,6,1,2
13,6pmrDIZKljbgNMNsavmWmA,Forget - Solo in Paris,Lianne La Havas,2RP4pPHTXlQpDnO9LvR7Yt,Is Your Love Big Enough? (Deluxe Edition),3S7PPQijoPQ8ASlHl6LsJ9,2012-07-09,21,2020-05-30T19:43:22Z,2020-05-30 19:43:22,2020,5,5,19
