,track_id,title,artist,artist_id,album,album_id,album_releasedate,popularity,time_added,full_time_added,year_added,month_added,dayofweek_added,hour_added,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genres
0,0jt6NEuzEY0OouXkwZHq5n,Creepin Up The Backstairs - Composite Edit (do not put on a/w),The Fratellis,3M4ThdJR28z9eSMcQHAZ5G,Costello Music,6YYhMNDgi37WNGtCDis6PT,2006-01-01,44,2020-06-09T21:02:29Z,2020-06-09 21:02:29,2020,6,1,21,0.584,0.967,11,-4.069,0,0.236,0.000302,2.15e-06,0.214,0.24,122.283,audio_features,0jt6NEuzEY0OouXkwZHq5n,spotify:track:0jt6NEuzEY0OouXkwZHq5n,https://api.spotify.com/v1/tracks/0jt6NEuzEY0OouXkwZHq5n,https://api.spotify.com/v1/audio-analysis/0jt6NEuzEY0OouXkwZHq5n,187160,4,"['alternative rock', 'garage rock', 'modern rock', 'rock', 'scottish rock']"
1,1GAHIJ5a6AFbIW5yjrGdAz,Not Discuss It,St. Beauty,4j5EnP4t2lSKolLuQh1xvn,Running to the Sun,5TWAPPRs8ycFPPIEiXluZM,2018-01-19,30,2020-06-09T07:50:30Z,2020-06-09 07:50:30,2020,6,1,7,0.567,0.392,1,-9.436,1,0.0419,0.0872,4.86e-05,0.112,0.195,89.976,audio_features,1GAHIJ5a6AFbIW5yjrGdAz,spotify:track:1GAHIJ5a6AFbIW5yjrGdAz,https://api.spotify.com/v1/tracks/1GAHIJ5a6AFbIW5yjrGdAz,https://api.spotify.com/v1/audio-analysis/1GAHIJ5a6AFbIW5yjrGdAz,204310,4,[]
2,0QrxeCKmq1qHJSqysK5rdD,Drinking Song,Haley Heynderickx,73MDShZzdL4vUGMkmXOG6X,Fish Eyes EP,0AJs8uGiBASbgSV5t34yhp,2016-01-29,35,2020-06-07T06:45:48Z,2020-06-07 06:45:48,2020,6,6,6,0.544,0.539,0,-5.09,1,0.0292,0.0882,0.0,0.142,0.237,120.877,audio_features,0QrxeCKmq1qHJSqysK5rdD,spotify:track:0QrxeCKmq1qHJSqysK5rdD,https://api.spotify.com/v1/tracks/0QrxeCKmq1qHJSqysK5rdD,https://api.spotify.com/v1/audio-analysis/0QrxeCKmq1qHJSqysK5rdD,194808,3,"['art pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'portland indie', 'small room', 'stomp and holler']"
3,1oG2vWELiGjIqxwqGcyqwF,You Really Got Me,The Kinks,1SQRv42e4PjEYfPhS0Tk9E,Kinks (Super Deluxe Edition),3hXXoaAA09avxBSSxtPIaL,1964-10-02,4,2020-06-06T21:30:23Z,2020-06-06 21:30:23,2020,6,5,21,0.567,0.959,8,-3.822,1,0.102,0.0995,6.07e-05,0.1,0.961,137.377,audio_features,1oG2vWELiGjIqxwqGcyqwF,spotify:track:1oG2vWELiGjIqxwqGcyqwF,https://api.spotify.com/v1/tracks/1oG2vWELiGjIqxwqGcyqwF,https://api.spotify.com/v1/audio-analysis/1oG2vWELiGjIqxwqGcyqwF,133933,4,"['album rock', 'art rock', 'british invasion', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic rock', 'rock', 'roots rock']"
4,5fatsgkWJ3KcESzlObGiSL,A Well Respected Man,The Kinks,1SQRv42e4PjEYfPhS0Tk9E,Juno - Music From The Motion Picture,3Dm3Kc5oOFtesVJe5TF1HG,2007-12-11,0,2015-07-08T03:25:02Z,2015-07-08 03:25:02,2015,7,2,3,0.491,0.887,9,-5.948,0,0.179,0.309,0.0,0.0612,0.614,161.334,audio_features,5fatsgkWJ3KcESzlObGiSL,spotify:track:5fatsgkWJ3KcESzlObGiSL,https://api.spotify.com/v1/tracks/5fatsgkWJ3KcESzlObGiSL,https://api.spotify.com/v1/audio-analysis/5fatsgkWJ3KcESzlObGiSL,161613,4,"['album rock', 'art rock', 'british invasion', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic rock', 'rock', 'roots rock']"
5,78HAgo3mrVdg9sI9GVKfs5,Worlds to Run,Busdriver,43SXnO2N4X024u3l9MfvXD,Thumbs,7Dab5Lu2RVndW3c5W0xA1l,2015-11-06,51,2020-06-03T04:48:33Z,2020-06-03 04:48:33,2020,6,2,4,0.618,0.67,4,-8.034,0,0.15,0.136,0.000116,0.169,0.214,143.059,audio_features,78HAgo3mrVdg9sI9GVKfs5,spotify:track:78HAgo3mrVdg9sI9GVKfs5,https://api.spotify.com/v1/tracks/78HAgo3mrVdg9sI9GVKfs5,https://api.spotify.com/v1/audio-analysis/78HAgo3mrVdg9sI9GVKfs5,315565,4,"['abstract hip hop', 'alternative hip hop', 'escape room']"
6,2OnzrJ0JDXctZ8LQYmgEbs,Imaginary Places,Busdriver,43SXnO2N4X024u3l9MfvXD,Temporary Forever,41VslczEKmSz0vAUsgQpUH,2002-09-24,2,2019-08-28T03:10:14Z,2019-08-28 03:10:14,2019,8,2,3,0.562,0.63,7,-10.952,1,0.29,0.155,0.0133,0.095,0.786,157.971,audio_features,2OnzrJ0JDXctZ8LQYmgEbs,spotify:track:2OnzrJ0JDXctZ8LQYmgEbs,https://api.spotify.com/v1/tracks/2OnzrJ0JDXctZ8LQYmgEbs,https://api.spotify.com/v1/audio-analysis/2OnzrJ0JDXctZ8LQYmgEbs,195000,4,"['abstract hip hop', 'alternative hip hop', 'escape room']"
7,5sjEQjDkEYOr1RB6n5acXD,Lemon Eyes,Meg Myers,0W8xe7IqAPlnBRMUpWOUuJ,Sorry,14Q6NvjUSthc0Xgb5EgtQd,2015-09-18,48,2020-06-02T22:24:27Z,2020-06-02 22:24:27,2020,6,1,22,0.776,0.566,0,-7.561,1,0.0739,0.366,0.0,0.451,0.652,139.937,audio_features,5sjEQjDkEYOr1RB6n5acXD,spotify:track:5sjEQjDkEYOr1RB6n5acXD,https://api.spotify.com/v1/tracks/5sjEQjDkEYOr1RB6n5acXD,https://api.spotify.com/v1/audio-analysis/5sjEQjDkEYOr1RB6n5acXD,219827,4,"['electropop', 'indietronica', 'modern rock', 'shimmer pop']"
8,2wZBb1r0BYixj88W9VsrTl,Motel,Meg Myers,0W8xe7IqAPlnBRMUpWOUuJ,Sorry,14Q6NvjUSthc0Xgb5EgtQd,2015-09-18,40,2020-05-29T02:07:48Z,2020-05-29 02:07:48,2020,5,4,2,0.498,0.735,0,-7.135,1,0.0518,0.315,0.0,0.848,0.293,79.972,audio_features,2wZBb1r0BYixj88W9VsrTl,spotify:track:2wZBb1r0BYixj88W9VsrTl,https://api.spotify.com/v1/tracks/2wZBb1r0BYixj88W9VsrTl,https://api.spotify.com/v1/audio-analysis/2wZBb1r0BYixj88W9VsrTl,267547,4,"['electropop', 'indietronica', 'modern rock', 'shimmer pop']"
9,5tb5fb5moizAdu3Z6jljn2,Make a Shadow,Meg Myers,0W8xe7IqAPlnBRMUpWOUuJ,Sorry,14Q6NvjUSthc0Xgb5EgtQd,2015-09-18,42,2016-12-02T22:08:19Z,2016-12-02 22:08:19,2016,12,4,22,0.732,0.424,6,-7.859,0,0.0303,0.201,0.000343,0.105,0.304,134.002,audio_features,5tb5fb5moizAdu3Z6jljn2,spotify:track:5tb5fb5moizAdu3Z6jljn2,https://api.spotify.com/v1/tracks/5tb5fb5moizAdu3Z6jljn2,https://api.spotify.com/v1/audio-analysis/5tb5fb5moizAdu3Z6jljn2,263280,4,"['electropop', 'indietronica', 'modern rock', 'shimmer pop']"
